g 23  8       -22.3
g 23  9       -34.5
g 23 10        10.4
g 23 11      -158.9
g 23 12       -15.6
g 23 13       -59.4
g 23 14       122.2
g 23 15      -119.5
g 23 16       -18.3
g 23 17       108.2
g 23 18       -35.6
g 23 19       -94.6
g 23 20       147.0
g 23 21       -88.5
g 23 22       199.1
g 23 23      -121.6
h 23  1        52.8
h 23  2        -2.1
h 23  3       -51.9
h 23  4       -92.9
h 23  5        -7.9
h 23  6        21.1
h 23  7        16.4
h 23  8       -51.3
h 23  9      -135.8
h 23 10        56.1
h 23 11      -172.6
h 23 12        40.8
h 23 13        21.3
h 23 14        19.6
h 23 15       -63.1
h 23 16      -135.9
h 23 17        -3.1
h 23 18        55.9
h 23 19       -63.5
h 23 20        -6.3
h 23 21       188.1
h 23 22      -119.3
h 23 23       313.2
g 24  0       128.5
g 24  1       -31.9
g 24  2        38.5
g 24  3       -80.7
g 24  4      -118.6
g 24  5      -177.4
g 24  6        44.8
g 24  7       -26.8
g 24  8      -153.3
g 24  9         7.6
g 24 10       -49.6
g 24 11       -48.7
g 24 12      -122.1
g 24 13        -1.7
g 24 14        40.1
g 24 15       -57.1
g 24 16       -82.7
g 24 17       170.5
g 24 18      -109.1
g 24 19        28.0
g 24 20       -45.5
g 24 21       -42.1
g 24 22        16.4
g 24 23       -42.7
g 24 24       174.8
h 24  1        59.4
h 24  2       -45.4
h 24  3       -76.0
h 24  4        13.9
h 24  5        26.5
h 24  6        63.0
h 24  7         9.1
h 24  8        29.6
h 24  9        -7.6
h 24 10        38.3
h 24 11       -81.6
h 24 12        63.3
h 24 13        40.0
h 24 14        50.3
h 24 15       -52.5
h 24 16       -88.2
h 24 17        99.9
h 24 18        59.3
h 24 19       -52.2
h 24 20       106.4
h 24 21       -62.1
h 24 22        34.6
h 24 23      -171.1
h 24 24        43.5
g 25  0       203.0
g 25  1        42.3
g 25  2        17.1
g 25  3       -79.5
g 25  4        -1.5
g 25  5        31.4
g 25  6        18.8
g 25  7        21.5
g 25  8       -94.6
g 25  9        35.0
g 25 10       -60.6
g 25 11       -11.7
g 25 12       -84.7
g 25 13        60.1
g 25 14         5.8
g 25 15        -4.9
g 25 16        25.9
g 25 17       117.3
g 25 18         9.2
g 25 19        99.6
g 25 20      -126.2
g 25 21        34.2
g 25 22        25.9
g 25 23        23.7
g 25 24        89.8
g 25 25        63.2
h 25  1        -6.2
h 25  2       -62.4
h 25  3       -17.5
h 25  4        72.8
h 25  5        -6.1
h 25  6       -12.2
h 25  7        28.2
h 25  8       -18.0
h 25  9       122.4
h 25 10       -33.4
h 25 11        24.0
h 25 12        19.7
h 25 13        70.6
h 25 14        62.2
h 25 15       -60.1
h 25 16       -54.4
h 25 17        54.0
h 25 18       -48.5
h 25 19        45.4
h 25 20        24.9
h 25 21       -77.3
h 25 22        36.9
h 25 23         4.8
h 25 24        85.7
h 25 25      -262.0
g 26  0        42.0
g 26  1        69.7
g 26  2       -12.6
g 26  3        -7.0
g 26  4        58.4
g 26  5        71.8
g 26  6        30.1
g 26  7        24.8
g 26  8         0.7
g 26  9         8.7
g 26 10        10.8
g 26 11       -21.4
g 26 12        -0.1
g 26 13        27.6
g 26 14        17.1
g 26 15        23.1
g 26 16        59.9
g 26 17        89.4
g 26 18        40.0
g 26 19       -30.5
g 26 20       -42.5
g 26 21        29.0
g 26 22       -21.3
g 26 23         5.1
g 26 24      -205.5
g 26 25        60.1
g 26 26      -142.3
h 26  1         5.1
h 26  2       -50.8
h 26  3         9.5
h 26  4        33.9
h 26  5        -7.2
h 26  6       -73.0
h 26  7       -12.9
h 26  8       -48.1
h 26  9        55.4
h 26 10       -60.8
h 26 11        39.0
h 26 12        46.9
h 26 13        43.8
h 26 14        29.2
h 26 15        -1.9
h 26 16         5.8
h 26 17        36.0
h 26 18      -113.8
h 26 19        29.2
h 26 20       -22.9
h 26 21       -10.0
h 26 22       -23.4
h 26 23       -30.5
h 26 24        66.7
h 26 25       126.9
h 26 26       -43.3
g 27  0       -97.3
g 27  1        29.4
g 27  2       -17.8
g 27  3        30.4
g 27  4        23.1
g 27  5        16.1
g 27  6        13.1
g 27  7         8.6
g 27  8        28.3
g 27  9       -14.0
g 27 10        52.4
g 27 11        10.3
g 27 12        17.4
g 27 13       -33.2
g 27 14        12.0
g 27 15        22.1
g 27 16        15.7
g 27 17        42.5
g 27 18        18.8
g 27 19       -62.5
g 27 20       -23.7
g 27 21        15.4
g 27 22       -38.5
g 27 23       -10.2
g 27 24      -106.4
g 27 25       -25.5
g 27 26        -2.6
g 27 27       -86.8
h 27  1        23.2
h 27  2         8.1
h 27  3        16.8
h 27  4       -44.1
h 27  5         6.2
h 27  6       -17.0
h 27  7       -30.2
h 27  8         0.7
h 27  9       -45.5
