Date ut utc Year Doy x y z r t p
20181029 8.891667 603320.891667366 2018 302.370486149 12.536245579925026 2.23549942650926 3.1142754294186763 13.109295266199243 1.3309407054310383 0.17646797867422997
20181029 8.908334 603320.9083337784 2018 302.371180592 12.546470654059195 2.100349647513008 3.115033905891568 13.096901570594119 1.3306496431975312 0.1658675688019118
20181029 8.925 603320.9250001907 2018 302.371875036 12.555233830358642 1.9652321798243158 3.1157906339170816 13.084501722648998 1.3303580310689176 0.15526705853752315
20181029 8.941668 603320.9416675568 2018 302.372569479 12.562536927208638 1.8301628853578022 3.1165456414703745 13.072095737477975 1.3300658650650377 0.14466644739981063
20181029 8.958334 603320.9583339691 2018 302.373263923 12.56838190287025 1.695157598052929 3.117298900576288 13.059683586295922 1.3297731447748358 0.13406573578531597
20181029 8.975 603320.9750003815 2018 302.373958367 12.572770911430649 1.5602320958988418 3.1180503972472446 13.04726526380771 1.3294798691205538 0.1234649222479222
20181029 8.991668 603320.9916677475 2018 302.37465281 12.575706260840374 1.4254021428971075 3.118800159458401 13.034840760920448 1.3291860336306867 0.11286400738799439
20181029 9.008334 603321.0083341599 2018 302.375347254 12.57719044088849 1.290683447098976 3.1195481452470206 13.022410060257902 1.3288916391877532 0.10226299041625116
20181029 9.025001 603321.0250005722 2018 302.376041697 12.577226123202596 1.1560916745929615 3.120294382588262 13.009973172464456 1.3285966816695907 0.09166187042975275
20181029 9.041667 603321.0416669846 2018 302.376736141 12.575816105298495 1.0216424634924188 3.121038843506966 12.997530053828504 1.3283011603364723 0.081060648066187
20181029 9.058334 603321.0583343506 2018 302.377430584 12.572963408493258 0.8873513819728082 3.121781528003133 12.98508071807723 1.3280050733162059 0.07045932160794194
20181029 9.075001 603321.0750007629 2018 302.378125028 12.568671193979746 0.7532339842220108 3.1225224220891845 12.972625150439402 1.3277084192947015 0.05985789216858061
20181029 9.091667 603321.0916671753 2018 302.378819472 12.562942790801767 0.6193057544900129 3.1232615397526997 12.960163341108048 1.3274111948205625 0.0492563591863067
20181029 9.108334 603321.1083335876 2018 302.379513915 12.555781681866502 0.48558210708890504 3.1239988670060987 12.947695260025034 1.3271133982631833 0.03865472059530613
20181029 9.125001 603321.1250009537 2018 302.380208359 12.547191559894813 0.3520784563307783 3.1247343898618025 12.935220921472231 1.3268150288341973 0.028052978346430425
20181029 9.141667 603321.141667366 2018 302.380902802 12.537176243495775 0.21881010462709116 3.125468108319812 12.922740302214773 1.326516083902568 0.017451129954822838
20181029 9.158334 603321.1583337784 2018 302.381597246 12.525739733116993 0.08579234040172327 3.126200022380126 12.910253396714833 1.326216561164695 0.006849176231063384
20181029 9.175 603321.1750001907 2018 302.38229169 12.512886183069433 -0.046959617859340906 3.126930118055167 12.89776018537172 1.3259164591506511 -0.003752882964833182
20181029 9.191668 603321.1916675568 2018 302.382986133 12.498619929502603 -0.17943062160801207 3.127658395344934 12.885260669776995 1.3256157756734663 -0.014355048598611727
20181029 9.208334 603321.2083339691 2018 302.383680577 12.482945448441784 -0.3116055782465171 3.1283848402618477 12.872754826141449 1.3253145091617862 -0.024957321208987637
20181029 9.225 603321.2250003815 2018 302.38437502 12.465867397750797 -0.4434694511273989 3.1291094528059085 12.860242653232822 1.3250126573524772 -0.035559700740137236
20181029 9.241667 603321.2416667938 2018 302.385069464 12.44739057516925 -0.5750072735410955 3.129832232977116 12.847724129277525 1.3247102175695844 -0.04616218758885765
20181029 9.258333 603321.2583332062 2018 302.385763908 12.427519960275275 -0.7062041627035193 3.1305531667878923 12.835199250987335 1.3244071886081519 -0.0567647834843586
20181029 9.275001 603321.2750005722 2018 302.386458351 12.406260686510379 -0.8370452638057405 3.1312722542382363 12.822668011200898 1.324103568055236 -0.06736748691791633
20181029 9.291667 603321.2916669846 2018 302.387152795 12.383618027191854 -0.9675158199518827 3.1319894813405695 12.810130382493233 1.3237993542126274 -0.07797029871840978
20181029 9.308333 603321.3083333969 2018 302.387847238 12.359597437475522 -1.0976011581715437 3.1327048480948916 12.797586365567073 1.3234945447982982 -0.08857322057118723
20181029 9.325 603321.3249998093 2018 302.388541682 12.334204526380573 -1.227286647457058 3.1334183405136242 12.785035952639342 1.3231891384796521 -0.09917625162562337
